lfdn,code_2320,code_2330
11033,4.0,9.0
4949,3.0,3.0
5699,2.0,14.0
2813,3.0,4.0
14750,3.0,4.0
17703,5.0,10.0
438,5.0,10.0
17868,3.0,6.0
4830,2.0,3.0
4831,3.0,4.0
2872,5.0,10.0
18777,4.0,9.0
17684,2.0,4.0
4834,4.0,7.0
18778,5.0,10.0
931,3.0,4.0
4836,3.0,6.0
14463,3.0,4.0
7994,5.0,10.0
18779,3.0,12.0
10628,3.0,4.0
11628,4.0,8.0
1065,3.0,3.0
14487,5.0,10.0
11479,2.0,4.0
4844,3.0,4.0
4845,5.0,10.0
22500,,
9511,3.0,3.0
3554,4.0,9.0
6097,4.0,9.0
8520,4.0,7.0
18129,4.0,
5234,2.0,4.0
9545,5.0,8.0
2075,3.0,4.0
4853,5.0,9.0
15978,5.0,10.0
9918,3.0,6.0
5805,5.0,10.0
18130,3.0,
5482,2.0,1.0
10238,5.0,6.0
16246,2.0,3.0
18509,,
14285,3.0,4.0
17342,3.0,4.0
11949,3.0,6.0
3154,2.0,12.0
4864,3.0,6.0
15233,3.0,8.0
16625,3.0,4.0
6271,5.0,4.0
11580,2.0,3.0
5004,3.0,12.0
18780,4.0,9.0
8341,3.0,8.0
4965,5.0,8.0
7063,5.0,8.0
4535,2.0,4.0
4275,3.0,6.0
18781,3.0,6.0
15228,3.0,7.0
17486,3.0,7.0
4703,2.0,4.0
16300,5.0,10.0
11553,2.0,4.0
6250,4.0,4.0
5825,5.0,10.0
6924,5.0,13.0
14527,5.0,4.0
13010,3.0,3.0
6814,3.0,4.0
16331,3.0,3.0
4793,5.0,6.0
1853,3.0,3.0
14556,2.0,3.0
10365,2.0,14.0
16674,2.0,4.0
9139,4.0,9.0
11096,3.0,12.0
11337,5.0,10.0
4895,4.0,12.0
7465,4.0,4.0
1382,2.0,6.0
875,3.0,8.0
8885,3.0,4.0
15858,5.0,4.0
2402,2.0,4.0
18782,5.0,7.0
11288,5.0,14.0
4734,2.0,6.0
15341,3.0,9.0
18783,2.0,4.0
599,1.0,4.0
12221,3.0,12.0
4907,5.0,10.0
15495,5.0,10.0
8551,5.0,13.0
10351,2.0,4.0
4911,3.0,4.0
18784,3.0,13.0
4912,3.0,3.0
15385,5.0,13.0
18785,5.0,9.0
18786,4.0,4.0
5745,3.0,3.0
3341,3.0,6.0
11928,4.0,9.0
14688,3.0,10.0
18787,3.0,6.0
9726,3.0,3.0
2931,5.0,10.0
13803,3.0,8.0
4582,3.0,6.0
10836,5.0,10.0
14305,3.0,8.0
1103,4.0,7.0
4586,3.0,7.0
942,3.0,6.0
15579,3.0,6.0
15972,5.0,10.0
9600,3.0,14.0
9250,3.0,13.0
9336,3.0,3.0
10752,2.0,3.0
11907,3.0,9.0
15246,2.0,4.0
10270,2.0,14.0
4936,5.0,10.0
9064,5.0,10.0
2179,2.0,3.0
6743,2.0,4.0
16069,5.0,10.0
13123,3.0,12.0
16632,5.0,8.0
7791,5.0,10.0
12015,2.0,4.0
18788,3.0,6.0
2321,2.0,6.0
14400,5.0,13.0
1901,3.0,4.0
18131,,
18789,3.0,6.0
12728,5.0,10.0
18132,2.0,
7537,3.0,4.0
5926,3.0,8.0
10902,3.0,8.0
13609,3.0,3.0
6280,3.0,4.0
5116,5.0,10.0
15856,5.0,9.0
620,4.0,8.0
17728,3.0,4.0
2327,2.0,4.0
4959,3.0,6.0
863,2.0,4.0
8881,2.0,6.0
16631,3.0,6.0
12295,3.0,7.0
15831,3.0,3.0
4939,5.0,7.0
18133,2.0,
8913,3.0,3.0
18790,5.0,13.0
4967,3.0,8.0
10781,3.0,4.0
11805,2.0,3.0
7940,2.0,3.0
1716,5.0,6.0
12977,4.0,9.0
4973,4.0,7.0
18791,2.0,6.0
1145,5.0,4.0
14236,5.0,10.0
9115,5.0,10.0
7597,2.0,4.0
4942,3.0,4.0
6154,3.0,7.0
3962,5.0,4.0
5328,3.0,8.0
18792,5.0,10.0
17335,5.0,8.0
3776,3.0,3.0
4985,3.0,7.0
18092,3.0,
17925,3.0,6.0
18134,,
7284,5.0,10.0
6415,2.0,3.0
9367,5.0,10.0
10493,3.0,9.0
8875,4.0,8.0
6080,5.0,9.0
11716,2.0,4.0
5491,5.0,10.0
14718,5.0,10.0
7108,2.0,4.0
18793,4.0,12.0
4998,3.0,4.0
18135,,
17835,5.0,9.0
10755,2.0,4.0
5001,4.0,8.0
17510,4.0,1.0
16197,3.0,12.0
17264,5.0,10.0
5005,4.0,9.0
8902,2.0,5.0
6994,3.0,6.0
5008,2.0,4.0
2859,4.0,7.0
11823,3.0,14.0
5011,3.0,4.0
7188,4.0,9.0
12742,3.0,3.0
352,4.0,4.0
12188,2.0,4.0
15103,2.0,3.0
4799,4.0,4.0
5018,3.0,8.0
14242,5.0,10.0
5932,2.0,4.0
18794,3.0,12.0
8548,4.0,9.0
5022,2.0,3.0
14330,2.0,3.0
13152,5.0,9.0
5025,3.0,4.0
3737,2.0,3.0
6267,3.0,9.0
11798,2.0,14.0
5029,3.0,4.0
5030,2.0,4.0
8199,3.0,3.0
13858,3.0,3.0
10369,2.0,4.0
1395,3.0,3.0
4540,2.0,3.0
